signal_id,initiative_id,workstream,issue_id,issue_date,status,follow_through_of,duplicate_of,geography,domain,dpi_components,milestone_type,milestone_date,canonical_headline,canonical_summary,entities,source_name,source_url,source_pub_date,confidence,impact_rating,pilot_watch,time_sensitive,time_window,notes
SIG-20260102-001,INIT-CARIBBEAN-CTU-DIGITAL-POLICY-LANDSCAPE,Caribbean-CTO-Brief,Issue-09,2026-01-02,NEW,,,Caribbean,AI|DPI|Events,ID|TrustLayer,REPORT,2026-01-02,CTU Digital Policy Landscape: from slide deck to a,"quarterly Cabinet workflow SignalThe Caribbean Digital Policy Landscape repository, introduced at the Caribbean DPI Summit in April 2025, now aggregates 550+ ICT, data and AI-related laws, policies and institutions acros",AI|CTU|DPI|ICT,,(link not provided),(date not provided),MEDIUM,MEDIUM,NO,NO,,
SIG-20260102-002,INIT-JAMAICA-AI-ROADMAP-GETS-REAL,Caribbean-CTO-Brief,Issue-09,2026-01-02,NEW,,,Jamaica,AI,,PILOT,2026-01-02,Caribbean AI roadmap gets real: teacher training and,"AI-in-schools pilots SignalThe UNESCO-CARICOM AI Policy Roadmap (2021) is now being operationalised through concrete teacher-training and policy efforts in at least one member state: in 2025, UNESCO's Caribbean office an",AI|CARICOM|CTU|PD|UNDP|UNESCO|UNESCO-CARICOM,,(link not provided),(date not provided),MEDIUM,MEDIUM,NO,NO,,
SIG-20260102-003,INIT-JAMAICA-DPI-SUMMIT-FOLLOW-THROUGH,Caribbean-CTO-Brief,Issue-09,2026-01-02,NEW,,,Jamaica,AI|DPI|Events|Payments,ID|Payments|TrustLayer,LAW,2026-01-02,DPI Summit follow-through: workshops and how to,"get into a sandbox SignalThe inaugural Caribbean Digital Public Infrastructure (DPI) Summit (Kingston, Apr 2025) framed DPI-civil registration, digital ID, payments and data-sharing-as foundational public infrastructure ",CTU|DPI|ID,,(link not provided),(date not provided),MEDIUM,MEDIUM,NO,NO,,
SIG-20260102-004,INIT-BARBADOS-FOUR-STATE-FREE-MOVEMENT,Caribbean-CTO-Brief,Issue-09,2026-01-02,NEW,,,Barbados,AI|DPI|Interoperability,ID|Registries|TrustLayer,FUNDING,2025-10-01,Four-state free-movement bloc: what happens at the,"border + LatAm comparators SignalFrom 1 October 2025, Barbados, Belize, Dominica and St Vincent & the Grenadines allow each other's nationals to live, work and remain indefinitely with access to primary health, schooling",CA|CARICOM|CSME|CTU|FAQ|ID|MERCOSUR,https://caricom.org/barbados-belize-dominica-and-st-,https://caricom.org/barbados-belize-dominica-and-st-vincent-and-the-grenadines-move-towards-full-free-movement-on-1-october-2025/,2025-10-01,MEDIUM,MEDIUM,NO,NO,,
SIG-20260102-005,INIT-GUYANA-GUYANA-S-DIGITAL-SCHOOL,Caribbean-CTO-Brief,Issue-09,2026-01-02,NEW,,,Guyana,AI|Events,,LAUNCH,2026-01-02,Guyana's Digital School + a 3-step partner playbook,"(and who's already done this elsewhere) SignalGuyana's Digital School is now live at scale as an online, AI- enabled high-school platform with 30,000+ students across the Caribbean, built on Moodle and backed by oil reve",AI|CMC|GEORGETOWN|SEP|UAE,,(link not provided),(date not provided),MEDIUM,HIGH,NO,NO,,
SIG-20260110-001,INIT-TRIDENT-ID,Caribbean-CTO-Brief,Issue-10,2026-01-10,FOLLOW-THROUGH,SIG-20251212-002,,Barbados,AI|Cyber|DPI,Cyber|ID|Location|TrustLayer,PROCUREMENT_RFP,2026-01-05,"Barbados' Trident ID: sequel focused on delivery risk,","not design Barbados has confirmed that 2026 will be a year of acceleration forTrident IDand broader public-sector digitisation: more services digitised monthly, expanded cybersecurity investments, and a nationwide sensit",Biometric Update|EU|ID|IDB|KYC|NIDS|OECS,"Biometric Update - “Barbados to expedite digital ID, public",(link not provided),2026-01-05,MEDIUM,HIGH,YES,YES,,
SIG-20260110-002,INIT-CARIBBEAN-CTU-S-Q1-ICT,Caribbean-CTO-Brief,Issue-10,2026-01-10,NEW,,,Caribbean,AI|Events,,PILOT,2026-01-09,CTU's Q1 ICT Forecast,"CTU held its 1st International ICT Forecast and Industry Watch Meeting on 9 January 2026, a virtual session that walked governments through the full Q1 2026 decision calendar: ARIN fellowships, ITU Council Working Groups",AGM|AI|ARIN|CANTO|CDB|CITEL|CTU|EU|ICANN|ICT|IDB|ITU|LACNIC|LACNOG|LEO|MWC|OTT|PMO|TF|TTIGF,CTU -1st International ICT Forecast and Industry Watch,(link not provided),2026-01-09,MEDIUM,MEDIUM,YES,YES,,
SIG-20260110-003,INIT-DOMINICA-DOMINICAN-REPUBLIC-INDOTEL-ONLINE,Caribbean-CTO-Brief,Issue-10,2026-01-10,NEW,,,Dominica,AI|Cyber,Cyber|TrustLayer,LAUNCH,2026-01-08,"Dominican Republic / Indotel: online harms, AI and","“fake news” hit the regulatory stack The Dominican Telecommunications Institute (Indotel) has announced that from 2026 it will implement a national strategy to combat digital blackmail, online extortion and the spread of",AI|CTU|EU|IDB|SOC|USAID,Dominican Today - “Indotel to launch national strategy against,(link not provided),2026-01-08,MEDIUM,HIGH,YES,NO,,
SIG-20260110-004,INIT-CARIBBEAN-ECLAC-DATA-EMBASSIES-FUNDABLE,Caribbean-CTO-Brief,Issue-10,2026-01-10,NEW,,,Caribbean,AI|Cloud|Cyber|DPI|Events|Interoperability,Cyber|ID|Registries|TrustLayer,PARTNERSHIP,2025-12-10,"ECLAC “Data Embassies”: a new, fundable tool for an","old resilience theme ECLAC's 135-page study,“Data embassies: an innovative approach to strengthening digital resilience in the Caribbean”(10 December 2025), proposes that Caribbean states host copies of their most critic",AG|CDB|CIO|CTU|DR|ECLAC|EU|EU-LAC|Global Gateway|ICT|ID|IDB|IT|LEO|UN,ECLAC -Data embassies: an innovative approach to,(link not provided),2025-12-10,MEDIUM,HIGH,YES,YES,,
SIG-20260110-005,INIT-JAM-DIGITAL-POSTAL-CODES,Caribbean-CTO-Brief,Issue-10,2026-01-10,NEW,,,Trinidad & Tobago,AI|DPI|Payments,ID|Location|Payments|TrustLayer,PARTNERSHIP,2026-01-06,Jamaica's digital postal codes: location joins identity,"and payments as core DPI On 6 January 2026, Jamaica Post and Yassuh Jamaica Limited announced a partnership to develop a digital postal code system assigning a unique, navigable code to every home and building in Jamaica",CTU|DPI|ID|Jamaica Observer|KINGSTON,Jamaica Observer,(link not provided),2026-01-06,MEDIUM,HIGH,NO,YES,,
SIG-20260110-006,INIT-CARICOM-MASTERCARD-S-SME-CYBER,Caribbean-CTO-Brief,Issue-10,2026-01-10,NEW,,,CARICOM,AI|Cyber|DPI|Payments,Cyber|ID|Payments|TrustLayer,PILOT,2025-12-02,Mastercard's SME cyber card: financial rails quietly,"adding security for MSMEs On 2 December 2025, Mastercard announced from Miami that it has enhanced its SME card offering for Latin America and the Caribbean, integrating cybersecurity tools My Cyber Risk and Identity The",CARICOM|CDB|CTU|IDB|JAM-DEX|KYC|LAC|MSME|RTGS|SME,Mastercard Newsroom (Latin America) - “Mastercard unveils,(link not provided),2025-12-02,MEDIUM,MEDIUM,YES,YES,,
SIG-20260124-001,INIT-TT-OPENAI-EDUCATION-FOR-COUNTRIES-PILOT,Caribbean-CTO-Brief,Issue-12,2026-01-24,NEW,,,Trinidad & Tobago,AI,,PILOT,2026-01-24,T&T selected to pilot OpenAI “Education for Countries” (ChatGPT Edu) in national education,"Trinidad & Tobago is one of six nations selected to pilot OpenAI’s “Education for Countries” initiative, embedding ChatGPT Edu and advanced AI tools into the national education system to personalize learning, reduce administrative overhead for educators, and build a future‑ready workforce. Pilot watch: curriculum integration (primary/secondary) and educator AI literacy training.",OpenAI|ChatGPT Edu|Trinidad & Tobago|Education,Caribbean CTO Brief,,2026-01-24,HIGH,HIGH,YES,NO,,"From CTO Brief Issue 12 (Jan 24, 2026)."
